 Name           	     J2000.0     	 T  	   D   	 logM* 	 logMHI 	 logSFRFUV	 logSFRHa	  SB  	  Th1  	  Thj  
 UGC01561                 	 020405.0+241228 	9	9.2	8.52	7.84	-1.89	-1.89	23.4	-1.29	0.11
 AGC122226                	 024638.9+274335 	9	8.56	7.5	7.55	          	-2.21	25	-1.35	0.07
 [KK2000] 08              	 032124.6-415954 	9	9.8	7.7	        	-3.05	         	25.2	0.38	1.72
 UGC02773                 	 033207.1+474737 	9	5.4	8.95	8.23	          	-0.86	22.7	-1.13	      
 ESO483-013               	 041241.1-230932 	9	7.4	8.72	7.63	-1.8	-1.82	23.5	-1.62	      
 NGC1705                  	 045413.7-532141 	9	5.73	8.62	8.06	-0.98	-0.98	23	-1.87	      
 ESO486-021               	 050319.7-252523 	9	10	8.74	8.47	-1.33	-1.48	23.8	0.77	0.17
 NGC1800                  	 050625.7-315715 	9	8	9.04	8.13	-1.26	-1.25	23.2	-1.68	-1.46
 HIPASS J0517-32          	 051721.6-324535 	9	8	7.8	7.76	-2.27	         	23.4	-0.53	-0.22
 LMC                      	 052334.6-694522 	9	0.05	9.42	8.66	          	-0.52	23.4	3.51	1.74
 ESO553-046               	 052705.7-204041 	9	6.7	8.17	7.46	-1.61	-1.25	23.3	-2.14	      
 KK49                     	 054141.5+064054 	9	5.15	8.66	7.73	          	-1.19	23.7	-2.13	-1.86
 ESO364-029               	 060545.4-330454 	9	9.04	9.12	8.53	          	-1.37	24.9	-0.69	0.9
 HIPASS J0607-34          	 060719.7-341216 	9	9.64	8.69	8.32	          	-1.66	22.6	-0.45	0.85
 KKSG9                    	 064656.9-175629 	9	10	8.72	8.64	          	-1.87	22.3	2.45	0.65
 ESO059-001               	 073119.3-681110 	9	4.63	8.17	8	          	-2.15	23.9	-1.66	-0.51
 CGCG 262-028             	 074732.1+511129 	9	9.8	8.18	8.13	-1.42	-1.39	23.2	-1.33	-1.6
 HolmII                   	 081904.0+704251 	9	3.47	9.2	8.63	-1.04	-1.15	24.4	0.71	1.91
 ESO006-001               	 081923.3-850844 	9	6.7	7.81	 <6.70  	          	         	23.5	-1.95	      
 KUG 0821+321             	 082505.0+320105 	9	8.27	7.41	7.28	          	         	24	-0.93	-2.12
 CGMW2-3473               	 082512.9-280825 	9	7.4	8.31	7.78	          	         	22.7	-1.32	0.31
 LV J0831+4104            	 083141.2+410454 	9	7.9	7.02	6.4	-3.26	         	23.6	-1.26	-2.33
 ESO495-021               	 083615.2-262434 	9	8.24	9.56	8.28	          	-0.2	22.3	-1.11	-0.57
 LV J0843+4025            	 084338.0+402547 	9	7.8	6.92	6.43	-2.99	         	24	-1.24	-2.24
 ESO496-010               	 084906.0-261912 	9	8.59	8.43	7.76	-2.12	         	23.3	-0.62	0.31
 AGC182595                	 085112.1+275248 	9	8.47	7.3	6.95	-2.92	-2.91	23.5	-0.78	-2.49
 LV J0859+3923            	 085946.9+392306 	9	9.4	7.34	7.1	-2.88	         	23.8	-0.29	-1.29
 KSP-DW11                 	 090853.3-230833 	9	9.82	7.16	        	 <-3.96   	         	25.6	1.79	1.66
 KSP-DW16                 	 091126.9-230844 	9	9.82	6.66	        	          	         	24.8	2.07	1.66
 KSP-DW18                 	 091142.2-241329 	9	9.82	6.58	        	-3.71	         	24.8	4.6	1.66
 AGC198507                	 091525.8+252510 	9	8.9	6.77	7.1	-3.2	         	23.6	0.06	1.57
 UGC04879                 	 091602.2+525024 	9	1.37	6.99	5.99	-3.28	-4.33	24.9	-0.67	-2.39
 UGC04998                 	 092512.1+682259 	9	8.24	8.71	7.04	-2.55	-2.74	24.7	-0.44	0.94
 NGC2915                  	 092611.5-763735 	9	4.29	8.74	8.64	-1.16	-1.31	22.5	-1.09	-1.09
 LV J0935-1348            	 093521.6-134852 	9	9.06	7.6	 <7.29  	-2.58	         	23.2	-0.68	      
 KUG 0937+480             	 094019.6+474638 	9	7.88	7.27	        	-2.71	-3.04	25.2	-0.75	-0.78
 LV J0944-2254            	 094420.1-225458 	9	6.05	7.22	 <6.94  	          	         	22.8	-1.58	-1.52
 IC0559                   	 094443.9+093655 	9	9.4	8.25	8	-1.85	-2.12	24.1	-1.06	-3.29
 LV J0956-0929            	 095637.6-092911 	9	9.38	7.95	6.87	-2.7	-2.81	24.2	0.76	1.72
 PGC154449                	 095708.9-091548 	9	9.7	7.9	 <7.31  	-2.4	         	24.1	1.1	1.72
 [CKT2009]d0958+66        	 095848.5+665059 	9	3.82	7.12	5.87	-3.38	-4.27	24.1	2.14	1.89
 LV J1000+5022            	 100025.5+502245 	9	7.97	7.24	        	          	-2.89	24.5	-0.79	-0.81
 NGC3077                  	 100321.0+684402 	9	3.85	9.57	8.8	-1.48	-1.06	23.1	2.33	1.88
 UGC05456                 	 100719.7+102144 	9	10.52	8.71	8.26	-1.16	-1.26	23.4	-0.89	      
 AGC208477                	 100919.8+275644 	9	6.92	6.61	6.6	-3.29	         	23.7	-1.3	-0.8
 UGC05497                 	 101248.4+640627 	9	3.73	7.19	6.02	-3.22	 >-3.65  	23.9	1.38	1.89
 LV J1017+2922            	 101726.5+292211 	9	5.21	7.1	6.74	          	         	24.2	-1.59	      
 UGC05571                 	 101942.4+520356 	9	8.24	7.49	8.09	-2.24	         	25.5	-0.88	-1.27
 AGC749315                	 102906.4+265438 	9	11	6.73	6.99	-3.04	-3.91	22.9	-1.04	-0.33
 DDO082                   	 103035.0+703710 	9	3.93	8.39	6.46	-2.6	-2.56	24.6	1.46	1.9
 AGC205156                	 103052.9+122648 	9	10.43	6.9	6.86	-3.28	         	23.2	0.31	1.9
 PGC2277751               	 103512.1+461412 	9	7.25	7.05	        	-3.15	         	24.3	-1.14	-1.11
 KUG 1033+366B            	 103617.6+362531 	9	8.1	7.3	        	-2.74	-2.78	24.4	-0.87	-0.59
 AGC205165                	 103704.8+152015 	9	10.4	7.79	6.87	-2.62	         	24.2	0.24	1.9
 AGC200499                	 103808.0+102251 	9	10.4	8.73	8.29	          	-1.98	22.5	0.87	1.9
 UGC05797                 	 103925.2+014307 	9	10.42	8.63	8	-1.92	-2.14	23.3	-0.21	0.58
 DDO088                   	 104722.3+140413 	9	7.73	8.33	7.87	-1.96	-2.22	24.6	-0.45	0.27
 MRK1265                  	 104940.4+225019 	9	7.32	7.22	7.13	-2.43	         	23.2	-1	-1.66
 UGC06014                 	 105342.7+094341 	9	10.4	8.36	7.8	-1.96	         	23.9	0.8	1.9
 MRK0036                  	 110458.5+290822 	9	8.02	7.52	7.37	-1.67	-1.37	23.3	-0.01	0.75
 DDO092                   	 111326.1+533542 	9	9.9	8.02	8.32	-1.61	-1.76	24.9	0.88	1.28
 AGC740666                	 111521.4+191432 	9	7.78	7.26	6.86	          	         	24.3	0.39	-0.04
 AGC215354                	 111915.9+141725 	9	10.42	7.37	 <7.41  	-3.45	         	24.4	0.41	1.77
 PGC034671                	 111948.6+554322 	9	9.9	7.67	        	-2.81	         	24.5	1.64	1.28
 IC2787                   	 112319.1+133747 	9	10.3	8.05	7.27	          	 <-4.57  	24.4	0.66	1.77
 IC2791                   	 112337.6+125345 	9	10.3	7.56	6.7	-3.12	         	24.2	1.14	1.75
 NGC3738                  	 113548.6+543122 	9	5.3	8.92	8.06	-1.26	-1.37	23.1	-1.01	-0.83
 NGC3741                  	 113606.4+451707 	9	3.22	7.43	7.93	-2.26	-2.39	23.8	-0.69	-0.14
 LV J1149+1715            	 114905.6+171521 	9	7.11	6.73	 <6.68  	-4.21	         	24	-0.78	-1.41
 PGC3401153               	 115352.4+512938 	9	7.79	7.05	        	-3.06	         	24.2	0.25	1.74
 ESO572-034               	 115858.1-190148 	9	10.52	8.76	8.3	          	         	23.4	-0.77	      
 NGC4068                  	 120402.4+523519 	9	4.39	8.3	8.08	-1.65	-1.82	24.1	-0.48	0.53
 MCG +06-27-017           	 120956.4+362607 	9	4.85	7.89	        	-2.71	-3.71	23.9	-0.22	1.47
 NGC4163                  	 121208.9+361010 	9	2.99	7.92	7.17	-2.4	-2.96	23.9	1.08	-0.14
 NGC4190                  	 121344.6+363800 	9	2.83	7.9	7.47	-2.22	-2.42	23.7	1.72	-0.14
 IC3077                   	 121556.3+142559 	9	9.1	8.16	6.97	-3.31	-2.87	24.8	0.12	1.7
 LV J1217+3231            	 121732.0+323157 	9	5.93	6.54	        	-3.7	         	25.9	-1.02	0.39
 IC3104                   	 121846.1-794334 	9	2.36	8.41	6.94	          	-2.34	24.2	-1.12	      
 PGC039646                	 121915.6+061738 	9	5.15	7.44	6.57	-3.08	-3.22	24.1	-1.13	-1.24
 VCC0429                  	 122043.9+143752 	9	7.1	7.13	6.57	-3.13	         	24.8	-0.93	0.52
 KUG 1218+387             	 122054.9+382549 	9	8.03	7.93	7.73	-2.12	-2.71	24.3	-0.36	0.44
 DDO120                   	 122115.0+454841 	9	7.28	8.73	8.04	-1.94	-4.14	24	1.06	1.7
 KKSG27                   	 122205.7-094801 	9	6.64	6.88	7.36	-2.76	         	26.1	-1.07	      
 UGC07485                 	 122422.2+210936 	9	7.94	8.12	7.12	-2.51	         	23.7	-0.1	1.51
 VCC0841                  	 122547.0+145707 	9	7.9	7.9	7.01	-2.91	         	24.2	0.18	1.6
 SBS 1224+533             	 122652.6+530619 	9	5.35	7.3	        	-2.65	 >-3.00  	24.2	-0.86	0.52
 DDO125                   	 122741.8+432938 	9	2.61	8.06	7.44	-2.32	-2.84	24.4	-0.94	-0.14
 UGC07584                 	 122802.9+223522 	9	9.2	7.74	7.78	-2.1	-2.46	24.5	0.02	1.68
 UGC07639                 	 122953.0+473148 	9	7.14	8.33	7.62	-1.97	-2.94	24.3	0.7	1.7
 UGC07642                 	 123013.8+023730 	9	10	8.15	7.73	-1.95	-2.19	23.8	1.17	1.81
 KK151                    	 123023.8+425405 	9	6.56	7.6	7.3	-2.45	-2.97	24.6	-0.33	0.33
 CGCG 014-054             	 123103.8+014033 	9	9.6	8.01	7.7	-2.32	         	24.7	-0.17	1.27
 UGC07678                 	 123200.4+394955 	9	9.08	8.24	8.1	-1.5	-1.69	23.5	0.75	1.18
 AGC229089                	 123236.0+331325 	9	6.73	7.29	7.13	-2.67	         	24.8	0.06	1.29
 NGC4509                  	 123306.8+320530 	9	10.1	8.72	7.98	-1.26	-1.21	22.5	0.81	1.3
 PGC041749                	 123352.7+393733 	9	8.24	7.51	7.93	-2.11	         	24.8	-0.28	1.17
 UGC7751                  	 123511.8+410339 	9	7.9	7.49	7.58	-2.43	         	25.4	1.03	1.71
 VCC1675                  	 123635.0+080317 	9	7.5	8.22	6.77	-2.51	         	24.1	-1.08	0.89
 IC3583                   	 123643.5+131534 	9	9.51	8.8	8.02	-1.24	-1.63	24	0.67	1.53
 IC3591                   	 123703.0+065536 	9	9.8	8.66	8.24	-1.58	-1.19	23.5	-0.4	1.59
 AGC220847                	 123714.0+293751 	9	9.18	7.72	7.26	-2.44	         	24.4	0.5	1.55
 VCC1713                  	 123729.1+044505 	9	7.2	7.66	7.08	-2.6	         	23.2	-0.63	0.44
 VCC1725                  	 123741.2+083333 	9	8.5	8.48	7.6	-1.66	         	23.8	-0.35	1.34
 AGC224291                	 124139.2+015017 	9	8.28	7.63	6.96	-2.84	         	23.3	0.45	1.28
 UGCA294                  	 124438.1+282821 	9	9.9	8.34	8.09	-1.57	 >-1.73  	23.6	-0.2	1.29
 VCC2033                  	 124604.5+082835 	9	9.8	8.32	7.01	-2.11	         	22.6	-0.6	1.17
 UGCA298                  	 124655.4+263351 	9	11	8.43	7.29	-2.23	         	23.6	-1.09	-0.87
 UGC07950                 	 124656.4+513647 	9	8.9	8.36	8.05	-1.41	-1.91	23.9	-0.37	-2.03
 MAPS1249+44              	 124931.0+442133 	9	7.84	7.23	7.08	-2.92	         	24	0.18	1.72
 NGC4765                  	 125314.4+042747 	9	9.7	8.96	8.43	-1.11	         	23.2	-0.19	1.31
 PGC3272767               	 125316.8-051813 	9	6.8	6.18	        	-4.13	         	23.9	-1.04	-0.36
 DDO153                   	 125357.5-120631 	9	8	8.31	8.54	-1.6	-1.56	25	-0.29	-0.18
 NGC4861                  	 125902.0+345137 	9	9.95	9.13	8.86	-0.59	-0.25	24.2	-0.57	-0.32
 UGC08105                 	 125958.1+020258 	9	9.99	7.99	7.82	-2.24	-1.51	25.1	-0.28	1.22
 DDO165                   	 130626.8+674215 	9	4.83	8.23	8.08	-1.66	-2.58	24.9	-0.64	0.75
 MCG -03-34-002           	 130756.6-164121 	9	7.9	8.1	7.72	-1.86	         	23.6	-0.6	-0.18
 UGC08245                 	 130834.2+785613 	9	4.72	7.78	        	-2.46	-3.02	24.9	-0.58	0.38
 ESO269-058               	 131032.9-465927 	9	3.75	8.86	7.37	-2.38	-3.5	25	1.43	1.87
 CGCG 217-018             	 131251.8+403235 	9	9.04	8.19	        	-1.94	-2	23.5	1.84	1.75
 CGCG 189-050             	 131704.9+375709 	9	5.04	7.44	        	          	-2.39	23.8	-0.12	1.37
 PGC2229803               	 132753.1+434855 	9	7.24	7.5	        	-2.89	         	23.9	0.26	1.33
 PGC170257                	 132921.0-211045 	9	4.9	7.67	6.91	-2.51	         	23.5	0.26	1.65
 dw1329-32                	 132958.0-322946 	9	4.9	6.73	 <6.75  	-3.89	         	23.3	1.65	1.62
 AGC238890                	 133230.3+250725 	9	6.8	7.3	6.58	          	         	24.8	-1.18	      
 NGC5237                  	 133738.9-425051 	9	3.33	8.43	7.48	-2.38	-2.26	23.1	1.19	1.88
 LV J1342+4840            	 134220.1+484057 	9	8.4	7.6	        	          	         	24.3	1.29	1.87
 dw1343+58                	 134307.0+581340 	9	6.95	7.65	        	-2.56	         	24.2	0.54	1.56
 ESO384-016               	 135701.6-352002 	9	4.49	7.83	6.69	-3.36	 <-4.65  	24.1	0.36	1.65
 NGC5408                  	 140321.5-412235 	9	5.32	8.57	8.48	          	-0.83	22.8	-0.35	-0.75
 NGC5477                  	 140533.1+542739 	9	6.76	8.26	8.6	-1.51	-1.62	24.3	1.97	1.56
 DDO190                   	 142443.5+443133 	9	2.83	7.93	7.52	-2.24	-2.63	23.6	-1.18	-1.13
 MRK0475                  	 143905.4+364822 	9	9.2	7.64	6.48	-2.24	-1.5	23.2	-1.25	-1.73
 UGC09660                 	 150109.3+444153 	9	10.76	8.68	8.23	-1.48	-1.56	23.3	-1.37	-0.61
 IC4662                   	 174706.3-643825 	9	2.55	8.72	8.24	-1.37	-1.12	22.4	-1.24	      
 UGC11411                 	 190842.3+701702 	9	6.58	7.85	        	-1.84	-1.72	23.4	-0.69	0.75
 NGC6789                  	 191641.8+635822 	9	3.55	7.94	 <6.47  	-2.6	-2.61	23	-1.32	      
 IC4870                   	 193737.6-654843 	9	8.51	8.34	8.62	-1.19	-1.32	24	-0.22	1.14
 LV J1952+1428            	 195211.8+142824 	9	8.39	7.78	7.19	          	-2.94	22.3	-2.56	      
 IC5152                   	 220241.9-511743 	9	1.96	8.71	8.01	-1.55	-2.23	23.8	-1.2	0.24
 UGC12894                 	 000022.5+392944 	10	8.47	7.58	7.92	-2.03	-2.29	25.2	-1.32	0.12
 AGC748778                	 000634.4+153039 	10	6.22	6.39	6.64	-3.53	-4.64	24.9	-1.87	-2.72
 UGC00064                 	 000744.0+405232 	10	9.6	8.15	8.58	-1.63	-1.51	25	-1.88	-0.96
 ESO349-031               	 000813.3-343442 	10	3.21	7.12	7.13	-3.02	-4.03	24.7	0.15	1.75
 PiscesA                  	 001446.0+104847 	10	5.65	6.53	6.96	          	         	25.6	-1.61	-2.86
 ESO410-005               	 001531.4-321048 	10	1.93	6.89	5.91	-3.96	 <-6.26  	24.5	0.07	0.5
 LV J0015-3825            	 001538.3-382541 	10	8.11	6.77	7.32	-3.02	         	24.6	-1.6	      
 JKB129                   	 002041.4+083701 	10	7.5	7.24	7.44	-2.69	         	24.8	-2.06	      
 ESO294-010               	 002633.3-415120 	10	2.03	6.3	5.52	-3.81	-4.28	25	1.03	0.54
 UGC00288                 	 002904.0+432554 	10	6.82	7.8	7.69	-2.33	-2.61	24.2	-1.89	-2.04
 ESO473-024               	 003122.5-224557 	10	9.9	7.72	8.18	-1.94	-2.1	25.9	-1.91	-1.09
 ScuSR                    	 003351.8-275024 	10	4	6.36	 <6.54  	 <-5.18   	         	26.5	1.2	1.76
 KK7                      	 003742.4-433016 	10	10.86	7.69	7.34	-2.68	         	23.9	-2.18	      
 And IV                   	 004232.3+403419 	10	7.18	7.22	8.44	-2.42	-3.12	25.6	-1.76	-1.46
 DDO226                   	 004303.8-221501 	10	4.92	7.71	7.53	-2.46	-2.9	25.2	-0.27	-0.58
 KDG002                   	 004921.1-180428 	10	3.56	6.85	5.99	-3.83	 <-5.72  	25.4	0.98	1.74
 DDO006                   	 004949.3-210058 	10	3.44	7.08	7.06	-2.86	-4.14	25.6	1.29	1.74
 ESO540-032               	 005024.6-195425 	10	3.63	6.83	6.03	-3.91	-4.98	25.9	1.39	1.74
 LV J0055-2310            	 005501.0-231009 	10	3.95	6.23	6.72	-3.72	         	25	1.56	1.74
 LGS 3                    	 010355.0+215306 	10	0.65	5.96	5.02	-5.23	 <-6.85  	25.4	1.46	1.75
 IC1613                   	 010447.8+020800 	10	0.76	8.1	7.8	-2.04	-2.35	24.8	0.63	1.75
 KKH5                     	 010732.5+512625 	10	4.27	7.16	6.87	          	-2.8	24.7	-0.45	-2.33
 AM0106-382               	 010822.0-381233 	10	8.2	7.6	7.58	-2.3	-2.33	24.1	-1.74	      
 PiscesB                  	 011911.7+110718 	10	8.91	7.11	7.47	-2.8	         	24.7	-1.02	      
 AGC114027                	 013441.8+143840 	10	9.9	6.81	7.38	          	         	25.1	0.97	1.36
 KKH6                     	 013451.6+520530 	10	3.37	6.93	6.54	 <-4.19   	-3.42	24.5	0.31	1.76
 UGC01171                 	 013944.8+155358 	10	10.2	8.09	7.71	-2.52	-3.59	24.8	2.26	1.35
 DDO013                   	 014009.6+155417 	10	9.04	8.53	8.66	-1.48	-1.57	26.1	-0.55	-1.23
 AGC112521                	 014107.9+271926 	10	6.08	6.81	6.75	-3.88	-4.2	25.1	-1.46	-0.31
 KK13                     	 014216.8+262204 	10	7.83	7.57	7.27	-2.74	-2.92	24.2	-0.4	0.62
 KDG010                   	 014341.4+154123 	10	7.87	7.66	7.72	-3.09	-2.63	25.5	-1.47	-0.9
 KK14                     	 014442.7+271716 	10	7.05	7.08	7.54	-2.94	-3.5	25.3	1.08	0.62
 JKB142                   	 014548.2+162241 	10	10.5	7.01	7.65	-2.81	-2.11	25	0.5	1.35
 KK15                     	 014641.6+264805 	10	8.67	6.98	7.21	-3.02	-3.59	25.4	-1.44	-0.69
 N672dwB                  	 014711.1+274100 	10	7.2	5.69	        	 <-4.46   	         	25.9	2.78	0.62
 N672dwA                  	 014719.1+271516 	10	7.2	6.18	        	-4.48	         	25.3	3.04	0.62
 Phoenix                  	 015106.3-442641 	10	0.44	6.07	 <5.21  	-4.43	         	26	0.67	1.75
 KK16                     	 015520.6+275715 	10	5.62	7.35	6.86	-3	-3.43	25.3	-0.71	-0.32
 KK17                     	 020009.9+284957 	10	5.01	7.02	6.76	-3.51	-3.53	25.6	-0.96	-0.3
 [TT2009] 25              	 022112.4+422151 	10	9.95	7.2	        	-4.15	 <-4.37  	25.7	4.11	1.73
 [TT2009] 30              	 022254.7+424245 	10	9.8	6.79	        	-4.25	 <-4.27  	27.6	2.35	1.73
 KKH11                    	 022435.0+560042 	10	7.24	8.41	8.43	          	-1.94	24.7	-1.58	      
 DDO019                   	 022500.2+360216 	10	9.55	8.03	8.34	-1.65	-1.82	25.9	0.32	1.07
 d0226+3325               	 022652.8+332537 	10	9.55	7.34	8.02	          	-4.58	27.1	3.81	1.07
 Halogas                  	 022720.0+335730 	10	9.55	7.14	7.14	-3	-2.79	24.6	2.77	1.05
 DDO022                   	 023254.0+384050 	10	9.95	8.07	8.11	-2.38	-2.32	25.3	0.44	1.82
 UGC02172                 	 024210.8+432119 	10	9.3	8.32	7.87	          	-0.94	23.7	0.14	1.73
 AGC123352                	 024839.2+231626 	10	8.27	6.77	7.04	-3.28	         	24.9	-1.09	0.07
 AGC124056                	 025736.4+234721 	10	7.37	6.62	6.74	 <-4.23   	         	24.1	-0.67	0.07
 ESO199-007               	 025804.1-492257 	10	6.03	7.27	7.25	-2.71	         	25.1	-1.28	-0.09
 N1156dw1                 	 030018.2+251456 	10	7.8	6.65	        	 <-3.76   	         	25.5	3.55	0.07
 N1156dw2                 	 030028.0+251817 	10	7.8	6.51	        	-3.21	         	25.9	3.15	0.07
 LV J0300+2546            	 030039.3+254656 	10	7.8	7.34	6.2	-3.41	-3.09	23.7	1.64	0.07
 KKH18                    	 030305.9+334140 	10	4.79	7.28	7.14	-2.57	-3.21	24.1	-1.17	-1.67
 ESO300-016               	 031010.5-400011 	10	8.8	7.94	7.86	-2.25	-2.77	24.9	1.23	1.71
 UGC02684                 	 032023.7+171742 	10	6.49	7.57	7.92	-2.26	-2.84	26	0.22	-0.9
 KK27                     	 032103.0-661911 	10	4.23	7.04	5.92	-3.67	         	25.2	1.86	0.32
 PGC013294                	 033556.8-451129 	10	7.28	7.54	 <7.10  	-2.5	         	23.7	-0.87	      
 KKH22                    	 034456.6+720352 	10	3.28	6.75	 <6.40  	 <-4.11   	 <-4.88  	25.8	1.57	1.92
 KK35                     	 034512.6+675150 	10	3.16	7.97	        	-1.92	-1.61	25	2.4	1.92
 UGC02905                 	 035700.6+163128 	10	5.83	8.02	7.56	-2.13	-2.59	23.6	-1.97	      
 CamA                     	 042515.6+724821 	10	3.56	7.79	8.14	-3.43	-2.91	25.8	0.7	1.42
 NGC1592                  	 042940.8-272431 	10	9.1	8.17	7.99	-0.98	-1.28	23.6	-1.51	      
 CamB                     	 045306.9+670557 	10	3.5	7.09	7.12	          	-3.29	25.6	0.72	1.85
 HIPASS J0457-42          	 045658.7-424814 	10	6.95	8.18	8.1	          	-2.25	23.7	-1.56	      
 KKH30                    	 051742.0+813727 	10	4.5	6.68	        	-4.13	 <-4.77  	25.5	-0.63	-1.64
 GALFA-Dw4                	 054544.8+104616 	10	7.22	7.76	7.37	          	         	23.8	-2.23	      
 A0554+07                 	 055736.7+072931 	10	5.5	7.39	7.3	          	-2.91	24.9	-1.42	-0.59
 KKH34                    	 055941.2+732539 	10	4.61	7.17	6.76	-3.91	-3.9	25	-0.65	-1.76
 ESO121-020               	 061554.5-574335 	10	6.08	7.78	7.94	-2.33	         	23.6	-0.63	-2.18
 LV J0616-5745            	 061609.2-574555 	10	6	7.07	7.36	-2.91	         	23.5	0.08	-1.09
 ESO489-056               	 062617.0-261556 	10	6.31	7.68	7.36	          	-2.55	23.4	-1.23	-1.13
 HIPASS J0630+08          	 063009.2+082116 	10	5.13	       	7.48	          	-4.26	      	-2.15	-1.86
 UGC03476                 	 063029.2+331807 	10	7.01	7.96	8.15	          	-1.85	24.8	-2.15	      
 ESO490-017               	 063756.6-255959 	10	6.34	8.13	7.9	          	-1.7	23.6	-1.68	-1.57
 KK55                     	 063932.9-404313 	10	9.38	7.91	8.04	          	         	23.7	-1.83	-0.53
 KKH37                    	 064745.8+800726 	10	3.44	6.9	6.71	-3.49	-3.84	25.1	-0.04	1.7
 KKH38                    	 064754.9+473050 	10	10.2	7.47	8.19	          	-2.5	26.5	-2.04	      
 FG202                    	 070517.1-583114 	10	5.3	7.92	8.34	          	-2.13	24.7	-2.03	-2.18
 UGC03755                 	 071351.8+103119 	10	7.69	8.43	8.28	-1.71	-1.81	23.8	-2.27	-2.32
 UGC03817                 	 072244.5+450630 	10	8.55	8.43	8.17	-2.17	-2.2	25.5	-1.69	      
 DDO043                   	 072817.2+404613 	10	10.47	8.13	8.38	-1.71	-1.9	24.3	-1.54	-0.78
 NGC2366                  	 072854.6+691219 	10	3.28	8.7	8.63	-1.12	-0.95	24.4	0.83	1.91
 AGC174585                	 073610.3+095911 	10	7.73	6.94	6.89	          	-3.38	24.4	-2.09	-0.49
 DDO046                   	 074125.8+400645 	10	10.38	8.47	8.58	-1.5	-2	24.1	-1.51	-0.18
 KK65                     	 074231.2+163340 	10	7.98	8.11	7.7	-2.33	-1.87	24.1	-0.06	-0.38
 KKH40                    	 074656.4+511746 	10	9.25	7.65	7.72	-2.23	-2.41	24.2	-1.28	-1.07
 AGC174605                	 075021.7+074740 	10	9.59	7.06	7.16	 <-4.38   	-3.56	24.2	-2.12	      
 UGC04115                 	 075701.8+142327 	10	7.87	8.26	8.35	-1.66	-1.81	25.1	-1.72	-0.42
 HIPASS J0801-21          	 080125.4-215951 	10	6.34	7.36	7.54	          	 <-3.59  	23.7	-1.54	      
 KDG052                   	 082356.0+710146 	10	3.42	6.93	7.02	-3.06	-5.23	23.3	1.98	1.91
 DDO052                   	 082828.5+415124 	10	9.86	8.36	8.28	-1.91	-2.43	25	-0.82	-0.21
 DDO053                   	 083406.5+661045 	10	3.68	7.34	7.64	-2.2	-2.13	24.6	0.81	1.91
 UGC04483                 	 083703.0+694631 	10	3.58	7.09	7.61	-2.4	-2.38	24.1	1.01	1.91
 AGC181604                	 083948.7+314052 	10	7.66	7.13	7.56	-2.71	         	25.3	-1.19	-1.85
 KK69                     	 085250.7+334752 	10	9.16	7.27	7.66	-3.53	-3.57	26.6	0.39	1.56
 LV 0853+3318             	 085326.8+331819 	10	9.82	6.49	        	-3.56	-3.16	25.7	4.27	1.56
 KSP-DW4                  	 085829.5-250618 	10	9.82	7.72	        	 <-3.54   	         	24	0.89	1.56
 LSBC D564-08             	 090254.0+200431 	10	8.83	7.03	7.54	-2.83	 <-4.40  	25.7	-0.25	-1.39
 KKH46                    	 090836.6+051732 	10	6.7	7.16	7.44	-2.67	-2.6	24.5	-1.65	      
 LSBC D634-03             	 090853.5+143455 	10	9.59	7.28	6.7	-3.57	 <-4.42  	24.4	-0.76	      
 KSP-DW12                 	 090906.4-235358 	10	9.82	6.18	        	 <-3.78   	         	24.9	2.45	1.66
 KK71                     	 090910.9-232204 	10	9.8	7.46	 <7.03  	-3.1	         	23.9	2.03	1.66
 DDO056                   	 090946.6-230033 	10	10.91	8.5	7.96	          	-2.03	24.1	-0.32	0.98
 LV J0913+1937            	 091339.0+193708 	10	8.9	7.27	7.07	-2.75	-2.9	24.5	0.26	1.57
 KSP-DW24                 	 091608.5-234317 	10	9.82	6.58	        	 <-4.04   	         	25	2.16	1.66
 HIPASS J0916-23b         	 091658.0-231647 	10	10.3	8.47	7.51	-2.16	-2.66	22.4	1.53	1.66
 LSBC D565-06             	 091929.4+213612 	10	9.29	7.34	6.76	-3.38	 <-4.75  	24.7	0.46	1.57
 KSP-DW30                 	 092013.2-235602 	10	9.82	6.65	        	-3.64	         	25.3	1.35	1.66
 KJ78                     	 092036.4+494031 	10	7.08	6.58	        	-3.2	-3.79	25.1	-1.2	-1.21
 AGC198508                	 092257.0+245648 	10	10.4	7.23	6.97	-2.4	-2.47	24.2	-0.82	      
 ESO565-003               	 092309.9-201003 	10	7.52	7.9	7.32	-2.26	-2.42	23.3	-1.31	      
 [CKT2009]d0926+70        	 092627.9+703024 	10	3.4	6.11	 <5.52  	-4.3	 <-5.25  	25.1	1.37	1.91
 KDG056                   	 093012.9+195930 	10	8.9	7.42	7.17	-3	-4.42	24.7	1.68	1.57
 NGC2903-HI-1             	 093039.9+214325 	10	8.9	6.92	6.42	-3.54	-2.93	23.9	3.32	1.57
 ESO373-007               	 093245.4-331444 	10	8.3	7.76	7.69	-2.73	         	25.2	0.82	0.39
 LeoT                     	 093453.4+170305 	10	0.42	4.94	5.63	-5.69	 <-5.92  	26.6	0.72	1.72
 [CKT2009]d0939+71        	 093915.9+711842 	10	3.65	5.6	        	-5.79	 <-5.48  	25.8	2.24	1.91
